Token,Lema,POS,Freq,Declinação,Definição
parte,pars,NOUN,270,-,"Magna, bona, multa, major, maxima pars, many, a good many, the majority: magna pars in iis civitatibus,Cic. Balb. , : major pars populi,id. Agr. , , : maxima pars hominum,Hor. S. , , ; cf.: minor pars populi,Cic. Agr. , , : multa pars mei,Hor. C. , , ."
caesar,caesar,PROPN,268,-,Derivv.
neque,neque,CCONJ,264,-,"Conj., in all periods and kinds of composition."
nostri,noster,DET,263,-,"Gen. sing. f. nostrāï, Vel. Long. p.  P.; gen. plur. nostrum, Plaut. Men. , , ; v.infra.), pron. poss. [nos], our, our own; ours, of us."
legiones,legio,NOUN,230,3,"A body of soldiers: legio, quod leguntur milites in delectu,Varr. L. L. , §  Müll."
ipse,ipse,DET,222,-,In gen.
de,de,ADP,213,-,"Down, only in the phrase susque deque, q. v."
civitates,civitas,NOUN,209,3,"Trop.: ut oratio Romana plane videatur, non civitate donata,Quint. , , ; cf.: civitate Romanā donare agricolationem,Col. , , : verbum hoc a te civitate donatum,naturalized,Gell. , , ; Sen. Ep. , ; id. Q. N. , , .—More freq."
habere,habeo,VERB,193,-,In gen.
si,si,SCONJ,189,-,"Conj. [from a pronominal stem = Gr. ἑ; Sanscr. sva-, self; cf. Corss. Ausspr. , ; Georg Curtius Gr. Etym. ], a conditional particle, if."
die,dies,NOUN,184,-,"In gen., the civil day of twenty-four hours."
ne,ne,SCONJ,183,-,"V.the foll.),  and conj., the primitive Latin negative particle, no, not; whereas the negative particle non is a derivative (v. non init.) [prob. of pronominal origin; cf. the Anglo-Saxon na and ne (Engl. no), whence naht (Engl. not) is derived; Sanscr. na, not]."
aut,aut,CCONJ,176,-,"In gen. it puts in the place of a previous assertion another, objectively and absolutely antithetical to it, while vel indicates that the contrast rests upon subjective opinion or choice; i. e. aut is objective, vel subjective, or aut excludes one term, vel makes the two indifferent."
quam,quam,SCONJ,176,-,In partic.
milites,miles,NOUN,170,3,A soldier.
causa,causa,NOUN,164,1,"An apology, excuse, Cato, R. R. , ; Plaut. Capt. , , ; Ter. Phorm. , , ; Cic. Fam. ,  fin.; Verg. A. ,  al."
una,unus,DET,164,-,"In gen., one, a single."
mittit,mitto,VERB,163,-,"Inf. pass. mittier, Plaut. Capt. , , ),  etym. dub.; cf. Sanscr. math-, to set in motion, to cause to go, let go, send, to send off, despatch, etc."
exercitum,exercitus,NOUN,155,-,"exercĭtus, a, um, Part. and , from exerceo."
eodem,idem,DET,151,-,"In partic., idem is used"
fines,finis,NOUN,145,3,Transf.
castra,castra,NOUN,139,-,"castra, ōrum and ae, v. castrum."
castris,castr,NOUN,139,-,Def. não encontrada
illi,ille,DET,139,-,In gen.
gallia,gallia,NOUN,136,-,"Gallia, ae, v. . Galli, II. A."
consilio,consilium,NOUN,134,2,"Deliberation, consultation, a considering together, counsel (cf. concilium; very freq. in all periods and species of composition)."
tempore,tempus,NOUN,132,3,"Abl. temp. tempori or temperi; v.infra), n. etym. dub.; perh. root tem-; Gr. τέμνω; prop. a section; hence, in partic., of time."
proelio,proelium,NOUN,132,2,"A battle, combat (class.; syn.: pugna, dimicatio)."
cognita,cognosco,VERB,127,-,"With the access. idea of individual exertion (cf. Gr. γιγνώσκω), to seek or strive to know something, to inquire into, to investigate, examine (so freq. only as a jurid. and milit. t. t.): accipe, cognosce signum,Plaut. Ps. , , ."
dictum,dico,VERB,126,-,"To proclaim, make known. So perh. only in the foll. passage: pugnam, Lucil. ap. Non. , .—Far more freq."
reliquos,reliquus,ADJ,125,-,"That is left or remains, that is left behind, remaining, = relictus (freq. and a good prose word; not found in Cat., Tib., Verg., or Hor.)."
multis,multus,DET,123,-,"Comp. plus; sup. plurimus (v. at the end of this art.), adj. etym. dub., much, great, many, of things corporeal and incorporeal."
sed,sed,CCONJ,119,-,In partic.
per,per,ADP,113,-,"Whereby, Inscr. Miseni Repert. ex a. p. Chr. n. ; Inscr. Orell. ) [kindr. with Gr. παρά; Sanscr. pāra, ulterior; Lith. pèr; cf.: parumper, paulisper; v. Georg Curtius Griech. Etym. p. ], denotes, like the Gr. διά, motion through a space, or extension over it."
hostes,hoss,NOUN,113,-,Def. não encontrada
flumen,flumen,NOUN,111,3,"A flowing of water; and concr., a flood, stream, flowing or running water (syn.: fluvius, amnis, rivus)."
summa,summus,ADJ,110,-,"summus, a, um, , v. superus."
belli,bellus,NOUN,106,-,In gen.
dato,do,VERB,102,-,"Poet. with inf.: da mihi frui perpetuā virginitate,allow me,Ov. M. , ; id. ib. , : di tibi dent captā classem reducere Trojā,Hor. S. , , ; so id. ib. , , ; id. Ep. , , ; id. A. P.  et saep."
tamen,tamen,ADV,102,-,"Notwithstanding, nevertheless, for all that, however, yet, still, etc."
multitudine,multitudo,NOUN,101,3,"A great number, multitude (class.; cf.: copia, vis, magnitudo)."
constituit,constituo,VERB,101,-,"To cause to stand, put or lay down, to set, put, place, fix, station, deposit a person or thing somewhere (esp. firmly or immovably), etc. (the act. corresponding to consistere; class.)."
uti,utor,VERB,99,-,"Inf. parag. oetier, Rogat. Tribun. ap. Fest. p.  Müll.; Cic. Leg. , ), ūsus (inf. utier, Plaut. Cas. , , ; Ter. Phorm. , , ), ,  etym. dub.."
primum,primus,ADJ,99,-,"Adj. sup. [obsol. prep. pri (prei); whence also prior, priscus; cf.: privus, privo, etc., and v. pro], the first, first (properly only when three or more are referred to. The first, as opp. to the second, is prior; but primus is rarely used for prior,Cic. Sest. ,  al.)."
videbat,video,VERB,99,-,"Inf. viderier, Cic. Dom. , ; Ter. Hec. , , : vidĕ,Plaut. Ps. , , ),  and n. Sanscr. root vid-, vēda, know; vindāmi, find; cf. vēda-s, sacred book; Gr. root ἰδ, ϝιδ-, in εἶδον, saw; οἶδα, know; Germ. wissen; Engl. wit, wot, to see, perceive, with the eyes (syn. cerno)."
romani,romanus,ADJ,98,-,Def. não encontrada
hominum,homo,NOUN,96,3,"Init., and nēmo, from nĕ-hĕmo: homōnem, Enn. ap. Prisc. p.  P. =   Ann. v.  Vahl.: hŏmōnes,Naev. , ), comm. root in humus, Gr. χαμαί; cf. Germ. -gam in Bräutigam; O. H. Germ. gomo; Goth. guma; Old Engl. goom; Engl. groom; cf. also Gr. ἐπιχθόνιοι; Hebr. Adam, a human being, man."
equitatu,equitas,NOUN,92,-,Def. não encontrada
caesarem,caesaris,PROPN,91,-,Def. não encontrada
alii,alius,DET,91,-,"Elian; subst., a native of Elis, a town in Achaia (only a few times in Plaut. Capt.): postquam belligerant Aetoli cum Aleis,Plaut. Capt. prol. ; ; , , ."
relictis,relinquo,VERB,90,-,"(With the idea of the re predominating.) To leave behind (cf. desero, omitto)."
receperunt,recipio,VERB,90,-,"Fut. apoc. recipie, for recipiam, Cato ap. Fest. p.  and  Müll.; v. dico init.: recepso, for recepero,Cat. , ), v. a. capio."
quid,quis,PRON,90,-,"Nom. plur. QVES, S. C. Bacch.), pron. interrog. [Sanscr. kis, in nakis = nemo; Gr. τίς], who? which? what? what man? (while qui, quae, quod, interrog. is used adject.; for exceptions, v. qui and infra.—Quis is properly used only of more than two; uter, which of two? v.infra)."
bellum,bellum,NOUN,89,-,Form bellum.
inter,inter,ADP,88,-,"Adv., in the midst, in between (poet. and rare): dumque pii petit ora patris stetit arduus inter pontus,Val. Fl. , : tot montibus inter diviso,id. , ; , ."
numero,numerus,NOUN,88,2,A number.
pro,pro,ADP,87,-,"Before, in front of; and, transf., for, with the idea of protection, substitution, or proportion."
oppidum,oppidus,NOUN,86,-,Def. não encontrada
nullum,nullus,DET,86,-,In partic.
contendit,contendo,VERB,85,-,"To stretch, stretch out vigorously, to draw tight, strain."
superiore,superior,ADJ,83,-,"sŭpĕrĭor, ōris, v. superus."
geruntur,gero,VERB,83,-,In partic. (very rare).
opere,opus,NOUN,83,3,"Transf., a work that has been done or made."
populi,populus,NOUN,83,2,"Nom. plur. poploe, Carm. Sal. ap. Fest. p.  Müll.; v. pilumnoe) [from root pleof pleo; v. plenus], , m., a people, the people."
fuga,fuga,NOUN,82,1,(archaic
etiam,etiam,ADV,79,-,"Conj. [cf. Gr. ἔτι; with ending -am, as in quoniam, nunciam, etc.; cf. Brix ad Plaut. Trin. prol. ], annexes a fact or thought to that which has already been said, and also, and furthermore, also, likewise, besides (syn. quoque)."
munitiones,munitio,NOUN,78,3,"A defending, fortifying, protecting (class.)."
hostium,hostius,NOUN,78,-,"Name of a Roman gens, Sall. H. , p.  Gerl. Min. (Dietsch, , ; Hostilius); Sen. Q. N. ,  al."
virtute,virtus,NOUN,77,3,In gen.
auxilium,auxilium,NOUN,76,2,"Help, aid, assistance, support, succor (syn.: adjumentum, opes, praesidium, subsidium)."
animo,animus,NOUN,74,2,"The power of feeling, the sensibility, the heart, the feelings, affections, inclinations, disposition, passions (either honorable or base; syn.: sensus, adfectus, pectus, cor), ὁ θυμός."
coactis,cogo,VERB,73,-,"To drive together to one point, to collect, compress, crowd, bring, or urge together, to assemble, gather together (class. and very freq.; syn.: colligo, congrego)"
longius,longe,ADV,73,-,Fin. A.
equitum,equitus,NOUN,71,-,Def. não encontrada
periculo,periculum,NOUN,71,2,"A trial, experiment, attempt, proof, essay (class.; cf. disorimen)."
existimabat,existimo,VERB,70,-,"In gen., to judge, consider, suppose, think, esteem.—Constr. with the acc., an object-clause, a rel.-clause, with de, or absol."
transire,transeo,VERB,70,-,"Perf. -ivit, Sen. Ben. , , ; fut. -iet, Tib. , , ; Sen. Q. N. , , ; Lact. , , ), v. n. and a., to go over or across, to cross over, pass over, pass by, pass (syn. transgredior)."
milia,milius,NOUN,70,-,Def. não encontrada
praesidio,praesidium,NOUN,69,2,Transf.
iam,iam,ADV,68,-,Def. não encontrada
acceptis,accipio,VERB,67,-,"Fut. perf. accepso = accepero, Pac. ap. Non. , , or Rib. Trag. Rel. ) [capio], to accept."
propter,propter,ADP,67,-,"Prep. with acc., near, hard by, close to (syn.: prope, juxta, ad)."
capere,capio,VERB,67,-,In partic.
venire,venio,VERB,67,-,"Esp., to come. spring, be descended: qui se Bebryciā veniens Amyci de gente ferebat (i. e. qui se ferebat venientem, etc.),Verg. A. ,  Forbig. ad loc."
equites,eques,NOUN,66,3,"A horseman, rider."
iubet,iubeo,VERB,66,-,Def. não encontrada
celeriter,celeriter,ADV,65,-,"cĕlĕrĭter, , v. . celer"
ante,ante,ADP,65,-,"Prep. with acc., before (syn.: prae, pro)."
ferre,fero,VERB,65,-,In partic.
imperat,impero,VERB,65,-,"To command, order, enjoin (cf.: jubeo, praecipio, mando)."
fieri,fio,VERB,63,-,V.facioinit.
videretur,vido,VERB,63,-,Def. não encontrada
totius,totus,DET,62,-,Neutr. absol.
accidit,accido,VERB,62,-,"To begin to cut or to cut into [cf.: adamo, addubito, etc.); hence, so to cut a thing that it falls, to fell, to cut (as verb. finit. very rare)."
ubi,ubi,SCONJ,62,-,"A relative local particle, denoting rest in a place, in which place, in what place, where."
coeperunt,coepi,VERB,62,-,Def. não encontrada
continenti,contineo,VERB,62,-,"Act., to hold or keep together."
sine,sine,ADP,62,-,"V.the foll.),  with abl. [si and ne; si, the demonstrative instrumental, and the negative ne; hence, nesi was also found,Fest. p. ; cf. Rib. Beiträge, p. ; Corss. Ausspr. , ;  , ]."
nam,nam,PART,61,-,"Conj. [acc. sing. fem. of pronom. stem na-; cf.: ἐγώ-νη, τύ-νη; Lat. ne, nae; masc. num; cf.: tum, tam; quom, quam]."
copias,copus,NOUN,61,-,Def. não encontrada
copiis,copius,NOUN,60,-,Def. não encontrada
quisque,quisque,DET,60,-,"Transf., for quicunque, whosoever, every one who, all that (ante- and postclass.): quemque videritis hominem,Plaut. Mil. , , ; id. As. , , ; , , ; Liv. , : at tu, quisque doles, amice lector,Sid. Ep. ,  in carm."
altera,alter,DET,59,-,Transf.
hostibus,hostus,NOUN,59,2,"The yield of an olive-tree, Cato, R. R. , ; Varr. R. R. , , ."
circiter,circiter,ADV,58,-,"Of place, round about, on every side: lapidem fuisse quadratum circiter (i. e. cubical) in mediā arcā vinctum candelis quaquaversum, Cass. Hem. ap. Plin. , , , §  (cf. the passage cited under circum, I. A. ., from Varr. R. R. , , )."
ibi,ibi,ADV,58,-,"In that place, there, = ἐνταῦθα (cf. istic)."
petere,peto,VERB,58,-,To fall upon any thing.
rhenum,rhenus,NOUN,58,-,"Meton., the dwellers on the Rhine, the Germans, Ov. F. , ; id. P. , , ; Luc. , ; Stat. S. , , ; hence, plur.: ingentes locat Rhenos,Pers. , ."
pugnandi,pugno,VERB,58,-,"A. [root pug-, to thrust, strike, whence pugil, pungo, etc.], to fight, either singly or in armies, to combat, give battle, engage, contend (very freq. and class.)."
passuum,passus,NOUN,57,-,"passus, a, um, Part. and  of . pando."
ita,ita,ADV,57,-,"In this manner, in this wise, in such a way, so, thus."
impedimenta,impedimentum,NOUN,56,2,"That by which one is entangled or impeded, a hinderance, impediment (freq. and class.; cf.: obstaculum, difficultas)."
nihil,nihil,PRON,56,-,"Indecl.; and nĭhĭlum, or contr. nīlum, i, n. ne-hilum, not the least; v. hilum."
proficiscitur,proficiscor,VERB,56,-,"V. dep. n. [profacio, facesso, faciscor; orig., to make, i. e. put one's self forward; hence], to set out, start, go, march, travel, depart, etc. (class.; cf. progredior)."
confecto,conficio,VERB,55,-,"To make a thing completely ready, to make, prepare, bring about, complete, accomplish, execute, etc. (except in Quint., freq. in all periods and species of composition)."
provinciam,provincia,NOUN,55,-,"Gen. PROVINCIAI, Inscr. Grut. , ) [etym. dub.; perh. contr. for pro-noventia (cf. nuntius), the charge or government of a legate]."
spe,spes,NOUN,54,-,"In gen., the expectation of something desired, hope (the predom. signif. of the word; syn. exspectatio)."
frumentum,frumentum,NOUN,54,2,"Transf.: frumenta, the small seeds or grains of figs, Plin. , , , § ; , , , § ."
prohibere,prohibeo,VERB,53,-,"Prohibessit,Plaut. Ps. , , : prohibessint,Cic. Leg. ,  fin.), habeo, to hold in front, i. e."
manus,manus,NOUN,53,-,"Alternae manu,Prop. , , ; , , ), f.root man-, ma-, to measure; Sanscr. ma, measure, moon; cf. Germ. Mond, moon, and O. H. Germ. mund, hand; Angl.-Sax. mund, a hand."
tanta,tantus,DET,53,-,"Of such size or measure, so great in amount, extent, value, degree, etc. (as some standard expressed or understood); usually with a foll. quantus, ut, qui, or absol.; rarely quam."
instituit,instituo,VERB,53,-,"To institute, appoint one, esp. as heir or to an office: qui me cum tutorem, tum etiam secundum heredem instituerit,Cic. Fam. , : Populum Romanum tutorem,id. de Or. , , : magistratum,id. Att. , ; Suet. Caes. ; id. Vitel. ; id. Claud. ; Just. , , ; Plin. Ep. , , ."
tum,tum,CCONJ,53,-,"Adv. demonstr., of time [pronom. demonstr. stems to-, ta-; Gr. το, seen in ita, tam, etc.; cf. quom or cum], then."
armis,armus,NOUN,53,2,"Inct.], pr., a joining together; the shoulder where it is fitted to the shoulder-blade, the fore quarter (opp. suffrago), and, with few exceptions, of the shoulder of an animal, while umerus designates that of men."
romanos,romanus,NOUN,52,-,Def. não encontrada
discedere,discedo,VERB,52,-,"Perf. sync. discesti, Plaut. As. , , ), v. n."
tenere,teneo,VERB,52,-,"Act., to hold, keep, have in the hand, in the mouth, etc."
interfectis,interficio,VERB,52,-,"Pass.: interfiat,Lucr. , : interfieri,Plaut. Trin. , , ), , inter-facio, to put between."
salutem,salus,NOUN,51,3,"Salvation, deliverance from sin and its penalties (eccl. Lat.): verbum salutis,Vulg. Act. , ; id. Rom. , ; , ."
copiae,copia,NOUN,51,1,"Abundant power, wealth, riches, abundance (very freq. in all periods and species of composition)."
iter,iter,NOUN,51,3,"Gen. iteris, Naev. ap. Prisc. p.  P.; id. ap. Non. , ; Jul. Hyg. ap. Charis. p.  P.; also, iteneris, Lex Agr., C. I. L. , , .— Abl. itere, Att. and Varr. ap. Non. , ; Lucr. , ), n. for itiner, from īre, ĭtum, a going, a walk, way."
impetum,impetus,NOUN,51,-,"Gen. plur.; abl. impetibus, Lucr. , ; v. also impes), m. impeto, an attack, assault, onset (freq. and class.; in sing. and plur. equally common)."
pedum,pes,NOUN,50,3,A foot of man or beast.
certior,certus,ADJ,50,-,"Determined, resolved, fixed, settled, purposed: non dubius."
modo,modus,NOUN,50,2,"A measure with which, or according to which, any thing is measured, its size, length, circumference, quantity (freq. and class.)."
paucis,paucus,DET,50,-,"In sing.: tibia tenuis simplexque foramine pauco,Hor. A. P. : injurias pauco aere diluere,Gell. , , ."
adducti,adduco,VERB,50,-,"Adduxti for adduxisti,Ter. Heaut. , , ; id. Eun. , , : adduxe = adduxisse,Plaut. Rud. , , ), to lead to, to bring or convey to, draw to any place or to one's self (opp. abduco, q. v.; syn.: adfero, apporto, adveho, induco)."
posita,pono,VERB,49,-,In partic.
minus,parue,ADV,49,-,Def. não encontrada
intellegebat,intellego,VERB,49,-,"Intellexes for intellexisses,Plaut. Cist. , , ; subj. perf.: intellegerint,Sall. H. Fragm. , ,  Dietsch), , v. a. inter-lego, to see into, perceive, understand."
proximis,proximus,ADJ,49,-,"proxĭmus (proxŭmus), a, um, v. propior, II."
oppido,oppido,NOUN,49,-,"oppĭdō, etym. dub.; cf. ἔμπεδον; v. oppidum"
signa,signum,NOUN,48,2,In partic.
timore,timor,NOUN,48,3,"Personified, Fear: Timor,Hor. C. , , : ater,Verg. A. , . —Plur., Ov. M. , ."
ratione,ratio,NOUN,48,3,"A reckoning, account, calculation, computation."
quidem,quidem,PART,47,-,"Indeed: sibi quidem persuaderi, eum, etc.,Caes. B. C. , : tantum doleo, ac mirifice quidem,Cic. Att. , , : in his locis post solstitium Canicula oritur, et quidem aliquot diebus,id. Div. , , ."
imperio,imperium,NOUN,47,2,"A command, order, direction."
legatos,legatus,NOUN,47,-,Fin. .
convenire,convenio,VERB,46,-,"Fut. convenibo, Plaut. Cas. , , ), v. n. and a."
adventu,adventus,NOUN,46,-,"Gen. adventi, Ter. Phorm. , , ; cf. Prisc. p.  P.), m. advenio, a coming, an approach, arrival (class., also in plur.)."
apud,apud,ADP,46,-,Transf. In designations of place
contra,contra,ADP,46,-,"In comparison with; hence, over against, fronting, in front, opposite, in opposition to, against, contrary to, opposed to, etc."
utrisque,uterque,DET,46,-,In gen.
abesse,absum,VERB,45,-,"To be away from, be absent."
obsides,obsis,NOUN,45,-,Def. não encontrada
aciem,acies,NOUN,45,-,"Gen. acii and   acie, like dii and die, facii and facie, fr. dies, facies, Cn. Mat. ap. Gell. , ; Caes. B. G. , ; Sall. ap. Serv. ad Verg. G. , , or Sall. Fragm. ed. Kritz. p. ; cf. Prisc. p.  P.), a sharp edge or point."
sustinere,sustineo,VERB,44,-,"To hold up, hold upright, uphold, to bear up, keep up, support, sustain (syn. fulcio)."
duxit,duco,VERB,44,-,In partic.
pervenit,pervenio,VERB,44,-,"Fut. pervenibunt, Pompon. ap. Non. , ; pres. subj. pervenat, Plaut. Rud. , , ; inf. pres. pass. pervenirier, Ter. Phorm. , , ), , to come to, arrive at, reach a place."
arbitrabatur,arbitror,VERB,44,-,"Act. arbitro, v.infra; arch. inf. arbitrarier, Plaut. Aul. , , ), ātus, ,  arbiter."
germani,germanis,ADJ,44,-,Def. não encontrada
naves,navis,NOUN,43,3,Transf.
fere,fere,ADP,43,-,"Approximately, closely, in two senses."
appellantur,appello,VERB,43,-,"To drive, move or bring a person or thing to or toward."
regionibus,regio,NOUN,43,3,"A direction, line (rare but class.)."
committere,committo,VERB,42,-,"Of two or more objects, to bring, join, combine into one whole; to join or put together, to connect, unite."
nec,nec,CCONJ,42,-,"Conj., v. neque."
impeditos,impedio,VERB,42,-,"Inque peditur, inque pediri, inque peditus, etc.,Lucr. , ; , ; , ; ), v. a.in-pes; cf. compedes; lit., to entangle the feet; hence, in gen., to entangle, ensnare, to shackle, hamper, hinder, hold fast (cf.: praepedio, implico, illigo, irretio, illaqueo)."
vallo,vallus,NOUN,42,2,"A stake, pale."
autem,autem,PART,42,-,In joining a thought that is simply different.
spatio,spatium,NOUN,42,2,"Room, a space (very freq. and class.)."
pati,patior,VERB,42,-,"Act. archaic collat. form patiunto, Cic. Leg. , , : patias, Naev. ap. Diom. p.  P.) [cf. Greek ΠΑΘ, ΠΕΝΘ-, πέπονθα, πένθος], to bear, support, undergo, suffer, endure (syn.: fero, tolero)."
post,post,ADP,42,-,"Of time, afterwards, after: nunc et post semper, old poet in Plin. , , , § ."
ariovistus,ariovistus,ADJ,41,2,"The king of a German tribe in the time of Coesar, Caes. B. G. ,  al."
fidem,fides,NOUN,41,-,"Transf., that which produces confidence or belief."
nocte,nox,NOUN,40,-,"V.in the foll.: nox, adverb. for nocte; v. fin.), f. (once masc. in Cato; v.infra, I.) [Sanscr. nak, naktis, night; Gr. νύξ; Germ. Nacht; Engl. night; from root naç; cf. neco, νέκυς], night."
aeduorum,aeduus,NOUN,40,-,Def. não encontrada
sub,sub,ADP,40,-,"V.infra, III.),  with acc. and abl. [perh. for es-ub, ens-ub, = ἐνς (εις) and ὑπό; Sanscr. upa; cf. Georg Curtius Gr. Etym. p. ], under."
germanorum,germanus,ADJ,39,-,"Full, own (very freq. and class.)."
annos,annus,NOUN,39,2,Adverb. phrases.
itinere,itinum,NOUN,38,-,Def. não encontrada
agere,ago,VERB,38,-,"Of cattle and other animals, to lead, drive."
enim,enim,PART,38,-,Transf.
fortunam,fortuna,NOUN,38,1,"Gen. sing. fortunas, like familias, escas, vias, etc., Naev. ap. Prisc. p.  P.), f. lengthened from fors; cf. Nep-tunus, v. Corss. Ausspr. , , chance, hap, luck, fate, fortune (good or ill; syn.: casus, fors; fatum, providentia)."
consuetudine,consuetudo,NOUN,38,3,"A being accustomed, custom, habit, use, usage."
legatum,lego,VERB,38,-,"Perf. legassit for legaverit, Fragm. XII. Tab. ap. Cic. Inv. , , ), ,  lex; and therefore qs. lege creare, a publicist's and jurid. t. t."
montem,mons,NOUN,37,3,"A mountain, mount."
demonstravimus,demonstro,VERB,37,-,"Arch. inf. pass.: demonstrarier,Ter. Ph. , , ), v. a., to point out, as with the finger; to indicate, designate, show (freq. and class.)."
labore,labor,NOUN,37,-,In gen.
generis,genus,NOUN,37,3,"Birth, descent, origin; and concr., a race, stock, etc. (cf.: familia, gens, stirps)."
natura,natura,NOUN,37,1,Birth.
munitum,munio,VERB,37,-,"Fut. munibis for munies, Veg. Vet. , , ),  moenia, lit. to wall; hence, to build a wall around, to defend with a wall, to fortify, defend, protect, secure, put in a state of defence (class.)."
caesarem,caesaris,ADJ,37,-,Derivv.
concilio,concilium,NOUN,36,2,"A collection of people, an association, gathering, union, meeting, assembly, = coetus (class.)."
navibus,navus,NOUN,36,-,"Nāvē (gnāvē), diligently, actively, zealously (ante-class.): nave agere oportet quod agas, non ductarier, Plaut. ap. Paul. ex Fest. p.  Müll.; Sall. J. , ."
intermisso,intermitto,VERB,36,-,"To leave off, intermit, omit, neglect; constr. with acc., aliquid ab, ad, or inf."
gallorum,gallum,NOUN,36,-,Def. não encontrada
arma,arma,NOUN,36,-,(
hostium,hostius,ADJ,35,-,"Name of a Roman gens, Sall. H. , p.  Gerl. Min. (Dietsch, , ; Hostilius); Sen. Q. N. ,  al."
hibernis,hibero,NOUN,35,-,Def. não encontrada
auctoritate,auctoritas,NOUN,35,3,"Meton., the things which serve for the verification or establishment of a fact."
parare,paro,VERB,35,-,"To make or get ready, to prepare, furnish, provide; to order, contrive, design, etc. (freq. and class.; syn.: apparo, comparo, acquiro); with personal, non-personal, and abstract objects; constr. usually with acc. or inf., rarely with ut, ne, or absol."
pontem,pons,NOUN,35,3,"A bridge across a river, ditch, or marsh, between towers, etc."
traditis,trado,VERB,35,-,"V.infra; cf. Neue, Formenl. , ), dĭdi, dĭtum,  (in tmesi: transque dato endoque plorato, i. e. tradito et implorato, Vet. Lex ap. Fest. s. v. sub vos, p.  Müll.),  trans-do, to give up, hand over, deliver, transmit, surrender, consign (syn.: dedo, remitto)."
milibus,milis,ADJ,35,-,Def. não encontrada
conferri,confero,VERB,35,-,"To bring, bear, or carry together, to collect, gather (freq. and class.)."
confirmat,confirmo,VERB,34,-,"V. a., to make firm, establish, strengthen, confirm (class., esp. in prose)."
deductis,deduco,VERB,34,-,"Imper.: deduc,Cic. Rep. , , ; old form, deduce,Ter. Eun. , , ), , v. a., to lead or bring away, to lead, fetch, bring or draw down (for syn. cf.: duco, comitor, prosequor, persequor, stipo, sequor, consequor—freq. and class.)."
agros,ager,NOUN,34,-,In a more restricted sense.
sic,sic,ADV,34,-,"In a parenthet. clause (= ita): quae, ut sic dicam, ad corpus pertinent civitatis,so to speak,Cic. Inv. , , : commentabar declamitans—sic enim nunc loquuntur,id. Brut. , ; cf. id. Att. , , ; id. Lael. , ; Liv. , ; Ov. M. , ; , ; , ."
sequi,sequor,VERB,34,-,"Gen. plur. part. sync. sequentūm, Verg. G. , ), , v. dep. (act. collat. form sĕquo, acc. to Gell. , ,  sq.; and Prisc. p.  P.) [Sanscr. sak-, to follow; sakis, friend; Gr. ἕπομαι, ἕπω; cf. Lat. socius], to follow, to come or go after, to follow after, attend."
