Token,Lema,POS,Freq,Declinação,Definição
fortitudinis,fortitudo,NOUN,1,3,Strength.
clxxx,clxxx,NOUN,1,-,Def. não encontrada
coemere,coemio,VERB,1,-,Def. não encontrada
sementes,semeo,VERB,1,-,Def. não encontrada
biennium,biennus,ADJ,1,-,Def. não encontrada
castico,casticus,ADJ,1,-,Def. não encontrada
catamantaloedis,catamantaloedus,ADJ,1,-,Def. não encontrada
obtenturus,obtendo,VERB,1,-,"To draw, stretch, spread, or place before (cf. obtego; not freq. till after the Aug. per.)."
suoque,suoquis,ADJ,1,-,Def. não encontrada
potentissimos,potenedto,VERB,1,-,Def. não encontrada
orgetoricem,orgetoricus,ADJ,1,-,Def. não encontrada
dictionis,dictio,NOUN,1,3,"A saying, speaking, uttering, delivery."
obaeratosque,obaeratosqus,ADJ,1,-,Def. não encontrada
exsequi,exssequor,VERB,1,-,Def. não encontrada
consciverit,conscivo,VERB,1,-,Def. não encontrada
comburunt,comburo,VERB,1,-,"To burn up, consume (class.)."
reditionis,reditio,NOUN,1,3,redeo
paratiores,parauio,VERB,1,-,Def. não encontrada
molita,molitus,ADJ,1,-,"mŏlĭtus, a, um, Part., from molo."
latobrigis,latobega,NOUN,1,-,Def. não encontrada
vicisque,vicisque,ADJ,1,-,Def. não encontrada
exustis,exsumo,VERB,1,-,Def. não encontrada
incoluerant,incoluero,VERB,1,-,Def. não encontrada
noreiamque,noreiamqum,NOUN,1,-,Def. não encontrada
allobro,allober,NOUN,1,-,Def. não encontrada
gum,gus,NOUN,1,-,Def. não encontrada
proximumque,proximumquus,ADJ,1,-,Def. não encontrada
genava,genavus,ADJ,1,-,Def. não encontrada
apr,apr,ADP,1,-,Def. não encontrada
gabinio,gabinium,NOUN,1,-,Def. não encontrada
maturat,mateo,VERB,1,-,Def. não encontrada
nammeius,nammeus,ADJ,1,-,Def. não encontrada
verucloetius,verucloetus,ADJ,1,-,Def. não encontrada
april,april,NOUN,1,-,Def. não encontrada
largitione,largitio,NOUN,1,3,"A giving freely, a granting, bestowing, dispensing, distributing, imparting."
obstrictas,obstribuo,VERB,1,-,Def. não encontrada
tolosatium,tolosatius,ADJ,1,-,Def. não encontrada
bellicosos,bellicosus,ADJ,1,-,"bellĭcōsus (duellĭc-), a, um,  bellicus"
frumentariis,frumentarius,ADJ,1,-,"Subst.: frūmentāri-us, ii, m."
aquileiam,aquileia,NOUN,1,-,"Aquĭlēia, ae, f., = Ἀκυληἱα"
graioceli,graioceli,ADV,1,-,"A Gallic tribe in the valleys of Mont Cenis, Caes. B. G. , ,  (others read Garoceli)."
caturiges,caturis,NOUN,1,-,Def. não encontrada
ocelo,ocelus,NOUN,1,-,Def. não encontrada
vocontiorum,vocontius,ADJ,1,-,Def. não encontrada
segusiavos,segusiavus,NOUN,1,-,Def. não encontrada
abduci,abduco,VERB,1,-,In partic.
ambarri,ambaro,VERB,1,-,Def. não encontrada
consanguinei,consangui,ADJ,1,-,Def. não encontrada
santonos,santonus,NOUN,1,-,"Santŏnus, i, v. Santoni."
arar,arar,NOUN,1,3,"(also , Claud. Ruf. , ; Eutr. , ; Inscr. Orell. ; acc. Ararim, Verg. E. , ; Plin. , , , § ;"
utram,uterus,DET,1,2,"Neutr. collat. form , , Plaut. Aul. , , , acc. to Non. , ; Turp. and Afran. ib.) [Sanscr. uttara, later; Gr. ὕστερος; cf. Gr. ὑστέρα, womb; Sanscr. udaram, belly; Engl. udder], the womb, matrix (syn. volva)."
ratibus,ratus,NOUN,1,-,"rătus, a, um, Part. and , v. reor"
cassium,cassiuus,ADJ,1,-,Def. não encontrada
persolvit,persolveo,VERB,1,-,Def. não encontrada
ultus,uolo,VERB,1,-,Def. não encontrada
soceri,socus,NOUN,1,-,Def. não encontrada
avum,avum,NOUN,1,-,Def. não encontrada
aegerrime,aegerrime,ADV,1,-,Def. não encontrada
cassiano,cassianus,ADJ,1,-,"Cassĭānus, a, um, v. Cassius, B."
reminisceretur,reminiscor,VERB,1,-,"V. dep. n. and a. [root men; whence mens, memini; v. comminiscor]."
dolo,dolus,NOUN,1,2,"Transf., the means or instrument of deceit: dolos saltu deludit, i. e. the nets,Ov. Hal. : subterraneis dolis peractum urbis excidium,Flor. , , .—Dolus, as a deity, Val. Fl. , : superavit dolum Trojanum,Dolon,Plaut. Ps. , , ."
deceptum,decipio,VERB,1,-,"dē-cĭpĭo, cēpi, ceptum, , capio, primarily signifies to catch away, catch up, seize an animal while running, fleeing, etc. (whence decipula, a snare, trap); but occurs only in the trop. sense (acc. to capio"
oblivisci,obliviscor,VERB,1,-,"Inf. obliscier.  Att. Tr. ; ), ,  ob and livor, q. v.; livēre, to become dark; hence, to have the mind darkened, forget, to forget; constr. with gen. of pers. and with gen. or acc. of thing; less freq. with inf. or a rel.clause (class.; cf. dedisco)."
num,num,SCONJ,1,-,In a direct interrogation (no corresp. term in English).
recentium,recentium,NOUN,1,-,Def. não encontrada
ambarros,ambarrus,NOUN,1,-,Def. não encontrada
allobrogas,allobroga,NOUN,1,-,Def. não encontrada
vexassent,vexasso,VERB,1,-,Def. não encontrada
impune,impune,ADV,1,-,"impūnē (inp-), , v. impunis"
diuturniorem,diuturnus,ADJ,1,-,"dĭūturnus, a, um (diŭ-, Ov. F. , ),  diu"
impunitatem,impunitas,NOUN,1,3,"(), ,  impunis"
populationibusque,populatio,NOUN,1,3,"A laying waste, ravaging, plundering, spoiling, devastation, etc. (not in Cic.)."
flagitare,flagito,VERB,1,-,"In gen. (class.); constr., aliquid aliquem; aliquid (aliquem) ab aliquo or aliquem; with ut or absol.; poet. with an objectclause."
subvexerat,subvo,VERB,1,-,Def. não encontrada
vergobretum,vergobretus,ADJ,1,2,"Paraphr.,the title of the chief magistrate among the Aedui,Caes. B. G. , ."
annuus,annuus,NOUN,1,-,"That returns, recurs, or happens every year, yearly, annual."
emi,emeo,VERB,1,-,"Perf., ātum, , , to pass through, traverse: emeato mari,Amm. , , ."
seditiosa,seditiosus,ADJ,1,-,Transf.
designari,designo,VERB,1,-,"V. a., to mark out, trace out (freq. in the Aug. per.); to describe, designate, define (for syn. cf.: nomino, appello; voco, dico; facio, coöpto, evoco, prodo, declaro, renuntio, seligo)."
portoria,portorius,ADJ,1,-,Def. não encontrada
auxisse,auido,VERB,1,-,Def. não encontrada
sumptu,sumptum,NOUN,1,-,Def. não encontrada
largiter,largiter,ADV,1,-,Fin. B.
potentissimo,potentisco,VERB,1,-,Def. não encontrada
sororum,sorus,NOUN,1,-,Def. não encontrada
nuptum,nuptus,NOUN,1,-,"nuptus, a, um, Part. and , from nubo."
adversum,adverdo,VERB,1,-,Def. não encontrada
temperantiam,temperantia,NOUN,1,1,temperans
troucillum,troucillus,ADJ,1,-,Def. não encontrada
commonefacit,commonefacit,ADP,1,-,Def. não encontrada
offensione,offensio,NOUN,1,3,"A striking against any thing; a tripping, stumbling (class.)."
adulescentiam,adulescentia,NOUN,1,-,"(not ), ae.  adulescens"
crevisset,crigo,VERB,1,-,Def. não encontrada
nervis,nerva,NOUN,1,1,"A Roman family name of the Licinii, Cocceii, and Silii. So M. Cocceius Nerva, the Roman emperor.—Hence"
prendit,prendo,VERB,1,-,"prendo, ĕre, v. prehendo."
praetore,praetor,NOUN,1,3,Transf.
peritissimus,peritis,ADJ,1,-,Def. não encontrada
sullae,sulla,PROPN,1,-,"A surname in the gens Cornelia. So, esp."
considium,considium,NOUN,1,-,Def. não encontrada
fugitivos,fugitivus,ADJ,1,-,"Fleeing away, fugitive; usually subst.: fŭgĭtī-vus, i, m., a fugitive, runaway, deserter."
aemilii,aemilium,PROPN,1,-,Def. não encontrada
decurionis,decurio,NOUN,1,-,To divide into decuriae.
converso,converso,VERB,1,-,V. freq. *
veteranarum,veteranus,ADJ,1,-,"Trop., experienced, skilled: veteranis manibus libros evolvite,Vop. Aur. ."
sarcinasque,sarcinusquus,ADJ,1,-,Def. não encontrada
phalangem,phalanx,NOUN,1,3,In gen.
perfregerunt,perfrabio,VERB,1,-,Def. não encontrada
transfixis,transfacio,VERB,1,-,Def. não encontrada
conligatis,conligo,VERB,1,-,Def. não encontrada
evellere,evello,VERB,1,-,"To tear, pull, or pluck out (class.)."
bracchio,bracchio,NOUN,1,-,Def. não encontrada
praeoptarent,praeopto,VERB,1,-,"prae-opto, āvi, ātum,"
submotis,submo,VERB,1,-,Def. não encontrada
aversum,avorio,VERB,1,-,Def. não encontrada
rotasque,rotasqus,ADJ,1,-,Def. não encontrada
mataras,mataras,ADJ,1,-,Def. não encontrada
superfuerunt,supserfuo,VERB,1,-,Def. não encontrada
sepulturam,sepelio,VERB,1,-,"sĕpĕlĭo, pelīvi or ii, pultum,  ("
occisorum,occisus,NOUN,1,-,"occīsus, a, um, Part. and , from . occīdo."
lingonas,lingona,NOUN,1,-,Def. não encontrada
nuntiosque,nuntiosqus,ADJ,1,-,Def. não encontrada
suppliciterque,suppliciterque,ADV,1,-,Def. não encontrada
perfugissent,perfugio,VERB,1,-,To flee to a place for refuge.
verbigenus,verbigenus,ADJ,1,-,Def. não encontrada
frugibus,frug,NOUN,1,-,Def. não encontrada
vicosque,vicosqus,NOUN,1,-,Def. não encontrada
bonitatem,bonitas,NOUN,1,3,"The good quality of a thing, goodness, excellence (cf. Caes. B. G. ,  Herz.; class., but mostly in prose)."
allobrogibusque,allobrogibus,NOUN,1,-,Def. não encontrada
libertatisque,libertasqus,NOUN,1,-,Def. não encontrada
tabulae,tabula,NOUN,1,1,"A board, plank."
tabulis,tabulus,NOUN,1,-,Def. não encontrada
cclxiii,cclxiius,NOUN,1,-,Def. não encontrada
tulingorum,tulingus,NOUN,1,-,Def. não encontrada
ccclxvii,ccclxvium,NOUN,1,-,Def. não encontrada
censu,census,NOUN,1,-,"census, a, um, Part., from . censeo."
gratulatum,gratulo,VERB,1,-,Def. não encontrada
florentissimis,florento,VERB,1,-,Def. não encontrada
oportunissimum,oportuns,ADJ,1,-,Def. não encontrada
fructuosissimum,fructuosus,ADJ,1,-,"Abounding in fruit, fruitful, productive; profitable, advantageous (very freq. and class.; syn.: fertilis, frugifer)."
proiecerunt,proieco,VERB,1,-,Def. não encontrada
tantopere,tantopere,ADV,1,-,"tantŏpĕre, v. tantus, I."
potentatu,potento,VERB,1,-,Def. não encontrada
sequanisque,sequanisquusqui,ADJ,1,-,Def. não encontrada
mercede,merces,NOUN,1,3,"Irreg. acc. mercem, Claud. ; Cons. Hon. ), f. mereo, what is deserved or earned; hence, hire, pay, wages, salary, fee, reward, etc. (syn.: pretium, stipendium; class.)."
adamassent,adama,VERB,1,-,Def. não encontrada
fractos,frano,VERB,1,-,Def. não encontrada
obstringere,obstringo,VERB,1,-,"To bind to or about; to bind, tie, or fasten up (rare): follem obstringit ob gulam,Plaut. Aul. , , : quom ego Amphitruonem collo hinc obstricto traham,id. Am. , , : cervice obstrictā,Juv. , : tauros aratro,to yoke,Val. Fl. , ."
repetituros,repito,VERB,1,-,Def. não encontrada
romam,romo,VERB,1,-,Def. não encontrada
tertiamque,tertiamque,ADP,1,-,Def. não encontrada
harudum,harudus,NOUN,1,-,Def. não encontrada
magetobrigam,magetobrigus,ADJ,1,-,Def. não encontrada
superbe,superbum,NOUN,1,-,Def. não encontrada
iracundum,iracundus,ADJ,1,-,"Īrācundē, angrily, passionately: agere cum aliquo,Cic. Phil. , , ; Just. , , ; Plin. , , , § . — Comp.: iracundius docere,Cic. Rosc. Com. , ."
emigrent,emigo,VERB,1,-,Def. não encontrada
gravissimum,gravissimus,ADJ,1,-,Def. não encontrada
tristes,tristis,ADJ,1,-,"Sad, sorrowful, mournful, dejected, melancholy, disconsolate, trist (syn.: maestus, severus, austerus, luctuosus)."
intueri,intueor,VERB,1,-,"Lit., constr. with simple acc., or in and acc."
miratus,miror,VERB,1,-,"To have a regard for: familiaritates ... amantium nos amicorum et nostra mirantium,Cic. Off. , , ."
quaesiit,quaesco,VERB,1,-,Def. não encontrada
tristitia,tristitia,NOUN,1,1,"Sadness, mournfulness, sorrow, grief, melancholy, gloominess, dejection (class.; syn. maestitia)."
diviacus,diviacus,NOUN,1,-,Def. não encontrada
absentisque,absentio,VERB,1,-,Def. não encontrada
horrerent,horro,VERB,1,-,Def. não encontrada
turpissimum,turpiss,ADJ,1,-,Def. não encontrada
maturrime,maturrimus,NOUN,1,-,Def. não encontrada
molimento,molimentum,NOUN,1,2,molior
gravaretur,gravo,VERB,1,-,"To charge with a load, to load, burden, weigh down, oppress (mostly poet. and in postAug. prose)."
ceterosque,ceterosqui,ADJ,1,-,Def. não encontrada
deteriora,deterius,ADJ,1,-,"Adv., worse, v. deterior fin."
inlaturum,inlatuo,VERB,1,-,Def. não encontrada
afuturum,afutor,VERB,1,-,Def. não encontrada
congrederetur,congredo,VERB,1,-,Def. não encontrada
invicti,invicio,VERB,1,-,Def. não encontrada
exercitatissimi,exercitas,ADV,1,-,Def. não encontrada
nasuam,nasua,NOUN,1,-,Def. não encontrada
cimberium,cimberium,NOUN,1,-,Def. não encontrada
praecavendum,praecavo,VERB,1,-,Def. não encontrada
alduas,alduus,ADJ,1,-,Def. não encontrada
dubis,dus,NOUN,1,-,Def. não encontrada
circino,circinus,NOUN,1,-,"M.. = κίρκινος, a pair of compasses' flumen Dubis. ut circino circumductum, paene totum oppidum cingit, Caes. B. G. , : diducere,Vitr. , , : circino spatia dimetiri, id ib.; id. , , : ratio circini,Plin. , , , § ."
mdc,mdcus,NOUN,1,-,Def. não encontrada
occupatoque,occupatoqus,ADJ,1,-,Def. não encontrada
mercatorum,mercor,VERB,1,-,"Inf. mercarier for mercari, Hor. S. , , ), v. dep. n. and a. [id.], to trade, traffic, deal in commodities (absol., Plaut. Merc. prol. ), to buy, purchase something from a person (cf. nundinor)."
mediocriter,mediocriter,ADV,1,-,"mĕdĭōcrĭter, , v. mediocris"
animosque,animosqus,NOUN,1,-,Def. não encontrada
vitarent,vitaro,VERB,1,-,Def. não encontrada
fatum,fatum,NOUN,1,2,"Masc. fatus malus meus, Petr. , ), n. for II. A., that which is said, an utterance.—Hence"
miserabantur,misero,VERB,1,-,"V., act. collat. form of miseror (ante-class.): ut miserarent mala, Att. ap. Non. ,  (Trag. Rel. v.  Rib.)."
testamenta,testamentum,NOUN,1,2,"The publication of a last will or testament; a will, testament (cf. codicilli)."
obsignabantur,obsigno,VERB,1,-,"V. a., to seal, seal up a will, a letter, etc. (class.)."
adpetisse,adpisceo,VERB,1,-,Def. não encontrada
repudiaturum,repudio,VERB,1,-,"To reject, refuse to accept an inheritance: si heres bona repudiaverit,Dig. , ,  fin.: fideicommissum,ib. , , : hereditatem,ib. , , , § : legatum a se,ib. , , : voluntatem defuncti,ib. , , ."
amentia,amens,NOUN,1,-,"ā-mens, mentis"
intulisset,intulles,VERB,1,-,Def. não encontrada
mario,marius,NOUN,1,2,The name of a Roman gens.
menses,meneo,VERB,1,-,Def. não encontrada
angustiasque,angustias,NOUN,1,-,Def. não encontrada
arroganter,arroganter,ADV,1,-,P. a. fin.
leucos,leucus,NOUN,1,-,"Leucus, i, v. Leuci."
male,male,ADV,1,-,"mălĕ, , v. . malus, ."
innocentiam,innocentia,NOUN,1,1,Harmlessness.
conlaturus,conlaro,VERB,1,-,Def. não encontrada
repraesentaturum,repraesento,VERB,1,-,"Of painters, sculptors, etc., to represent, portray, etc. (post-Aug. for adumbro): Niceratus repraesentavit Alcibiadem,Plin. , , , § .—With se, to present one's self, be present, Col. , , ; , , ; Dig. , , , § ."
praetoriam,praetoria,NOUN,1,-,Def. não encontrada
conversae,convergo,VERB,1,-,"V. n., to incline together (late Lat.): punctus quo cuncta convergunt,Isid. Orig. , , ."
paratissimam,paratissimam,ADV,1,-,Def. não encontrada
respuit,respeo,VERB,1,-,Def. não encontrada
citroque,citeroque,ADV,1,-,Def. não encontrada
inridicule,inridicule,ADV,1,-,Def. não encontrada
praetoriae,praetorius,ADJ,1,-,"Subst.: praetōrĭus, ii, m."
rescribere,rescribo,VERB,1,-,"To write back or in return, to reply in writing (freq. and class.)."
terrenus,terrenus,ADJ,1,-,"Consisting of earth, earthy, earthen (class.)."
commemoravit,commemoraro,VERB,1,-,Def. não encontrada
veteres,veter,NOUN,1,-,"vĕter, ĕris, v. vetus"
necessitudinis,necessitudo,NOUN,1,3,"Necessity, inevitableness, want, need, distress."
honorifica,honorifica,NOUN,1,-,Def. não encontrada
auctiores,auctus,ADJ,1,-,"auctus, a, um, v. augeo"
attulissent,atfero,VERB,1,-,Def. não encontrada
postulata,poltulo,VERB,1,-,Def. não encontrada
propinquosque,propinquosqus,ADJ,1,-,Def. não encontrada
pependerint,pependeo,VERB,1,-,Def. não encontrada
interpellaremus,interpello,VERB,1,-,"To interrupt by speaking, to disturb, molest, etc. (syn. obloquor; class.)."
usos,usum,VERB,1,-,Def. não encontrada
remuneraturum,remunero,VERB,1,-,"rĕmūnĕro, āre, v. remuneror"
ignovisset,ignovo,VERB,1,-,Def. não encontrada
gallia,gallius,ADJ,1,-,"Gallĭus, a, um, v. . Galli, II. C."
adequitare,adequito,VERB,1,-,"To ride near to or by: juxta aliquem,Suet. Cal. : vehiculo anteire aut circa adequitare,id. Aug. ."
telaque,telaqus,ADJ,1,-,Def. não encontrada
elatum,elo,VERB,1,-,Def. não encontrada
diremisset,diremitto,VERB,1,-,Def. não encontrada
coeptae,coepis,VERB,1,-,Def. não encontrada
valerii,valeria,PROPN,1,1,"A kind of eagle, called by the Greeks melanaĕtos, Plin. , , , § ."
caburi,cabo,VERB,1,-,Def. não encontrada
flacco,flaccus,PROPN,1,-,"Flabby, hanging down."
peccandi,pecco,VERB,1,-,"In partic., of sexual sin: quid inter-Est in matronā, ancillā, peccesve togatā?Hor. S. , , ; Ov. H. , ; Mart. , , ."
metium,metium,NOUN,1,-,Def. não encontrada
conclamavit,conclamavo,VERB,1,-,Def. não encontrada
catenas,catena,NOUN,1,1,"Num. distrib. as piur. tantum: trinis catenis vinctus,Caes. B. G. , ) [Sanscr. kat, to fall away; cf. catax]."
exercuerant,exercumro,VERB,1,-,Def. não encontrada
velocissimi,velocus,ADJ,1,-,Def. não encontrada
deciderat,decido,VERB,1,-,"To fall off, fall down (class.)."
iubis,iuba,NOUN,1,-,Def. não encontrada
hostibusque,hostibusqus,NOUN,1,-,Def. não encontrada
vaticinationibus,vaticinatio,NOUN,1,3,"A foretelling, soothsaying, prophesying; a prediction, vaticination, Cic. N. D. , , ; id. Att. , , ; Caes. B. G. , ; Val. Max. , , ; Suet. Caes. ; Plin. Ep. , , ."
marcomanos,marcomanus,ADJ,1,-,Def. não encontrada
vangiones,vangio,NOUN,1,3,"A prince of the Suevi, Tac. A. ,  sq."
sedusios,sedusios,NOUN,1,-,Def. não encontrada
proficiscentes,proficisceo,VERB,1,-,Def. não encontrada
gladiorum,gladium,NOUN,1,2,v. gladius
phalanga,phalanga,NOUN,1,-,Def. não encontrada
insilirent,insileo,VERB,1,-,Def. não encontrada
revellerent,revello,VERB,1,-,"To pluck or pull away, to pull or tear out, to tear off or away (freq. and class.)."
desuper,desuper,NOUN,1,-,"Without the idea of motion, above (poet. and late): desuper extentas imposuere togas,Ov. F. , ; Sil. , ; Flor. , , ; Just. , , ; Vulg. Matt. ,  et saep."
tranare,trano,VERB,1,-,"To swim over or across, to swim through."
reppererunt,repperio,VERB,1,-,Def. não encontrada
naviculam,naviculus,NOUN,1,-,Def. não encontrada
duae,duo,ADJ,1,-,"Two: hi ambo et servus et hera frustra sunt duo,Plaut. Am. , , : angues duo maxumi,id. ib. , , : duo talenta argenti,id. As. , ,  et saep."
eduxerat,eduxero,VERB,1,-,Def. não encontrada
voccionis,voccio,NOUN,1,-,Def. não encontrada
soror,soror,NOUN,1,3,"In partic., poet.: sorores,the Muses,Prop.  (), , . the Fates, Cat. , ; Ov. H. , ; , ; Mart. , , ; , , ; the Danaides, Prop.  (), , ; Ov. H. , ."
ter,ter,ADJ,1,-,"Three times, thrice."
sortium,sortius,ADJ,1,-,Def. não encontrada
secvndv,secvndv,NOUN,1,-,Def. não encontrada
coniurandi,coniuror,VERB,1,-,Def. não encontrada
moleste,molestis,ADJ,1,-,Def. não encontrada
imperiis,imperia,NOUN,1,-,Def. não encontrada
conscripsit,conscrior,VERB,1,-,Def. não encontrada
celeriusque,celerio,ADV,1,-,Def. não encontrada
andebrogium,andebrogium,NOUN,1,-,Def. não encontrada
ceterisque,ceterisque,ADJ,1,-,Def. não encontrada
coniunxisse,conihngo,VERB,1,-,Def. não encontrada
belgos,belgos,NOUN,1,-,Def. não encontrada
fertilitatem,fertilitas,NOUN,1,3,"Fruitfulness, fertility, abundance."
gallosque,gallosqus,NOUN,1,-,Def. não encontrada
expulisse,expulo,VERB,1,-,Def. não encontrada
solosque,solosqui,DET,1,-,Def. não encontrada
vexata,vefero,VERB,1,-,Def. não encontrada
cimbrosque,cimbrosqum,NOUN,1,-,Def. não encontrada
electa,eligo,VERB,1,-,"In eccl. Lat., chosen of God, elected to be saved, Vulg. Col. ,  et saep."
feracissimosque,feracus,ADJ,1,-,Def. não encontrada
potentissimum,poto,VERB,1,-,"Act., to drink (ante-class. and post-Aug.; syn. bibo), Caecil. ap. Gell. , , : aquam,Suet. Ner. ; Juv. , : vinum,Plin. , , , § : ut edormiscam hanc crapulam, quam potavi,this intoxication which I have drunk myself into,Plaut. Rud. , , ."
galbam,galbus,ADJ,1,-,Yellow)].
atuatucos,atuatuca,NOUN,1,-,Def. não encontrada
caerosos,caerosus,ADJ,1,-,Def. não encontrada
paemanos,paemanus,NOUN,1,-,Def. não encontrada
principumque,principumquus,ADJ,1,-,Def. não encontrada
axonam,axona,NOUN,1,1,"A river in Gaul, now the Aisne, Caes. B. G. , ; Aus. Mos. ; cf. Mann. Gall. ."
maturavit,maturavo,VERB,1,-,Def. não encontrada
duodeviginti,duodevigintum,NOUN,1,-,Def. não encontrada
circumiecta,circumico,VERB,1,-,Def. não encontrada
iccio,iccio,NOUN,1,-,Def. não encontrada
cretas,creta,NOUN,1,-,"Crēs, Crētis, m., and Cressa, ae, f., = Κρής, Κρῆσσα, Cretan; or as subst., a Cretan; a Cretan woman."
baleares,balearis,ADJ,1,-,Def. não encontrada
agrosque,agrosqus,NOUN,1,-,Def. não encontrada
fumo,fumo,NOUN,1,-,"To smoke, steam, reek, fume."
viii,viius,NOUN,1,-,Def. não encontrada
eximiam,eximius,ADJ,1,-,"exĭmĭus, a, um, adj.eximo."
supersedere,supersedeo,VERB,1,-,"A., to sit upon or above."
paululum,paululus,NOUN,1,-,"paulŭlus (paull-), a, um"
transversam,transverdo,VERB,1,-,Def. não encontrada
obduxit,obduco,VERB,1,-,"Inf. perf. sync. obduxe, Arg. ad Plaut. Merc. ), , v. a., to lead or draw before, lead or conduct against or towards, to draw or bring forward or around, draw over (class. and very freq.; syn.: obtendo, obtego)."
adgrederentur,adgredo,VERB,1,-,Def. não encontrada
neutri,neutrus,NOUN,1,-,Def. não encontrada
axonam,axonus,ADJ,1,-,Def. não encontrada
primosque,primosquus,ADJ,1,-,Def. não encontrada
fefellisse,fafillo,VERB,1,-,Def. não encontrada
undique,undiquus,NOUN,1,-,Def. não encontrada
adorti,adorsus,NOUN,1,-,Def. não encontrada
murique,muriqus,ADJ,1,-,Def. não encontrada
armisque,armisquus,ADJ,1,-,Def. não encontrada
bratuspantium,bratuspo,VERB,1,-,Def. não encontrada
verba,verba,NOUN,1,-,Def. não encontrada
contumeliasque,contumeliasqus,ADJ,1,-,Def. não encontrada
moribusque,mor,NOUN,1,-,Def. não encontrada
vini,vinis,NOUN,1,-,Def. não encontrada
luxuriam,luxuria,NOUN,1,1,"Gen. luxurii, Gracch. ap. Gell. , ; the dat. of the fifth decl. is not in use, and the abl. is doubtful; v. Neue, Formenl. ,  sqq.), f. luxus, rankness."
relanguescere,relanguesco,VERB,1,-,"V. inch. n., to sink down fainting; to grow languid or faint (class. but rare)."
patriamque,patriamquus,ADJ,1,-,Def. não encontrada
sabim,sabim,ADP,1,-,Def. não encontrada
adventumque,advenimquo,VERB,1,-,Def. não encontrada
persuaserant,persuamero,VERB,1,-,Def. não encontrada
atuatucorum,atuatucus,ADJ,1,-,Def. não encontrada
coniecisse,coniecio,VERB,1,-,Def. não encontrada
reliquaeque,reliquaeque,DET,1,-,Def. não encontrada
incisis,incisus,ADJ,1,-,"incīsus, a, um, Part., from . incīdo."
enatis,eno,VERB,1,-,"Neutr., to swim out, swim away, escape by swimming."
rubis,rub,NOUN,1,-,Def. não encontrada
sentibusque,sentibusqui,NOUN,1,-,Def. não encontrada
instar,instar,DET,1,-,"A sketch, image, resemblance, likeness, kind, manner: parvum instar eorum, quae, etc.,Liv. , , ."
