Token,Lema,POS,Freq
conlocavit,conloco,VERB,16
existimabant,exsistimo,VERB,16
deiecti,deiicio,VERB,15
cognoverat,cognovo,VERB,15
ambiorigem,ambiorigus,NOUN,15
collis,colla,NOUN,15
belgae,belgus,ADJ,15
incolumes,incolus,ADJ,14
helvetios,helvetio,NOUN,14
aeduis,aedus,NOUN,14
helvetiis,helvetia,NOUN,14
profugit,profugo,VERB,14
hoste,hos,NOUN,14
ventum,vo,VERB,14
treveris,trever,NOUN,14
agmine,agmus,NOUN,14
compluribus,complerus,ADJ,14
helvetiorum,helvetio,VERB,14
convenerant,convenero,VERB,14
sequanorum,sequanus,ADJ,13
temptare,tempto,VERB,13
consedisse,consedio,VERB,13
permotus,permoueo,VERB,13
suebos,suebus,NOUN,13
vi,vies,NOUN,13
circumventi,circumvo,VERB,13
exspectare,exssecto,VERB,13
tanto,tanto,ADV,13
veriti,vereo,VERB,13
vocibus,vocus,NOUN,13
arvernis,arver,NOUN,13
barbari,barbo,VERB,13
pervenerunt,pervo,VERB,13
compluribus,complus,NOUN,13
interfecto,interfero,VERB,12
adiunctis,adiungo,VERB,12
arcesseret,arcedo,VERB,12
vercingetorige,vercingetorigus,NOUN,12
britannia,britannus,ADJ,12
consili,consilis,NOUN,12
usui,usuus,NOUN,12
imperavit,imperavo,VERB,11
nactus,naceo,VERB,11
crebris,crebrus,ADJ,11
legio,legium,NOUN,11
adferebantur,adfero,VERB,11
cotidie,cotidie,ADV,11
commius,commus,NOUN,11
suaque,sua,VERB,11
reverti,reverio,VERB,11
equitesque,equitesqui,NOUN,11
interiectis,interio,VERB,10
lacessere,lacedo,VERB,10
diviciaci,diviciacus,NOUN,10
victoriae,victorias,ADJ,10
dumnorigem,dumnorigus,NOUN,10
telum,telus,NOUN,10
principibus,principis,NOUN,10
gravioris,gravus,ADJ,10
trebonium,trebonium,NOUN,10
iusserat,iussero,VERB,10
imperiti,imperio,VERB,10
praeerat,praeero,VERB,10
silentio,silentio,NOUN,10
insidiis,insidium,NOUN,10
coniecti,coniicio,VERB,10
arvernorum,arvernus,ADJ,10
comperit,compero,VERB,10
fortissime,fortus,ADV,10
morinos,morinus,NOUN,10
consuevit,consuevo,VERB,10
iudicium,iudicium,NOUN,9
consulibus,consulus,NOUN,9
arvernos,arvernus,NOUN,9
insidias,insidia,NOUN,9
litaviccus,litaviccus,NOUN,9
iustam,iustus,ADJ,9
hieme,hies,NOUN,9
egressi,egridio,VERB,9
bituriges,biturigo,NOUN,9
avaricum,avaricus,NOUN,9
iumentorum,iumentum,NOUN,9
sabinus,sabinus,NOUN,9
palude,palux,NOUN,9
caede,caedus,NOUN,9
portas,portas,NOUN,9
adire,adiriscor,VERB,9
biturigum,biturigus,NOUN,9
obsidesque,obsidesqus,NOUN,9
peditum,pedeo,VERB,9
sabini,sabinus,PROPN,8
dispersi,dispero,VERB,8
suessionum,suessio,NOUN,8
victoriam,victorius,ADJ,8
calones,calon,NOUN,8
menapios,menapius,NOUN,8
oppidani,oppidans,ADJ,8
huc,hux,NOUN,8
aulercos,aulercus,NOUN,8
commentario,commentaris,ADJ,8
animadvertit,animadvo,VERB,8
senatum,senatum,NOUN,8
seu,siue,CCONJ,8
precibus,precus,NOUN,8
gravius,gravius,ADV,8
imperi,imper,NOUN,8
lucterius,lucterus,ADJ,8
inopinantes,inopino,VERB,8
navi,nav,NOUN,8
adventum,adventum,NOUN,8
sequanis,sequanis,NOUN,8
adficiebantur,adficio,VERB,8
coniurationem,coniuratio,NOUN,8
iugum,iuga,NOUN,7
cohortium,cohortium,NOUN,7
priusquam,priusquam,SCONJ,7
deterrere,deterro,VERB,7
venetos,venetus,ADJ,7
diviciaco,diviciacus,ADJ,7
caedes,caes,NOUN,7
intulisse,intulo,VERB,7
castella,castellus,NOUN,7
insignibus,insignus,ADJ,7
frumentumque,frumentumque,NOUN,7
confidebant,confidedo,VERB,7
remotis,remoueo,VERB,7
iurando,iuro,VERB,7
vineas,vinia,NOUN,7
dimissis,dimo,VERB,7
exercitatione,exsercitatio,NOUN,7
reliquisque,reliqui,DET,7
gallicis,gallex,ADJ,7
celeriterque,celeriterque,ADV,7
conloquio,conloquium,NOUN,7
perfidia,perfidium,NOUN,7
negotio,negotio,NOUN,7
hiemis,hiema,NOUN,7
coicere,coicio,VERB,7
adit,ado,VERB,7
petierunt,petio,VERB,7
provisa,provido,VERB,7
tormentis,tormens,NOUN,7
praefecit,praefacio,VERB,7
suebis,sueba,NOUN,7
clam,cla,NOUN,7
proeli,proelus,NOUN,7
aestate,aesta,NOUN,7
expugnatis,exspugno,VERB,6
frumentandi,frumento,VERB,6
suosque,suosques,ADJ,6
iureiurando,iureiuro,VERB,6
eiecerunt,eio,VERB,6
devicta,devicio,VERB,6
saxis,sax,NOUN,6
mediocri,medioxr,ADJ,6
coniectis,coniectuo,VERB,6
essedis,essedium,NOUN,6
elicere,elico,VERB,6
itinerum,itinus,ADJ,6
incendiis,incendia,NOUN,6
pecoris,peius,NOUN,6
cassivellauni,cassivello,VERB,6
vercingetorigem,vercingetor,NOUN,6
ambiorigis,ambuorigus,NOUN,6
praefecerat,praefeco,VERB,6
nerviorum,nervium,NOUN,6
terga,terga,NOUN,6
conloquium,conloqui,NOUN,6
divisum,divo,VERB,6
seque,seque,SCONJ,6
triduo,triduus,NOUN,6
conspicati,conspico,VERB,6
defessi,defitto,VERB,6
scutum,scutus,NOUN,6
iugo,iugo,NOUN,6
movisse,movio,VERB,6
querebantur,quero,VERB,6
biturigibus,bituris,NOUN,6
pabuli,pabulus,NOUN,6
audacius,audacius,NOUN,6
veteribus,veterus,ADJ,6
commemoravi,commemoror,VERB,6
angustias,angustia,NOUN,6
clientes,clieo,VERB,6
iura,iura,NOUN,6
persuasum,persua,VERB,6
esse,esse,NOUN,6
drappes,drappus,NOUN,6
atrebates,atreba,NOUN,6
agminis,agminus,NOUN,6
atrebatem,atrebatus,NOUN,6
adpropinquare,adpropinquo,VERB,6
coniurare,coniuro,VERB,5
adhortatus,adhorto,VERB,5
pedestribus,pedesterus,ADJ,5
gravius,gravius,ADJ,5
ali,aliuo,VERB,5
praesidi,praesidus,NOUN,5
equestre,equestrus,ADJ,5
adiuvabat,adiuvo,VERB,5
hibernorum,hibernum,NOUN,5
integris,integerr,ADJ,5
centurio,centurium,NOUN,5
omnesque,omnisqui,DET,5
confiderent,confideo,VERB,5
constiterant,constitero,VERB,5
senonum,senonus,NOUN,5
considunt,considuo,VERB,5
pilis,pilis,NOUN,5
introrsus,introrsus,NOUN,5
bellovacis,bellovaxus,ADJ,5
belgis,belgus,NOUN,5
iacentibus,iaceo,VERB,5
conspicatus,conspicico,VERB,5
constiterat,constiteo,VERB,5
boios,boius,NOUN,5
allobrogibus,allobrogus,NOUN,5
iunctis,iungo,VERB,5
invitis,invo,VERB,5
perlata,perlo,VERB,5
helvios,helvium,NOUN,5
adgressi,adgredior,VERB,5
ituros,iturus,ADJ,5
pristinae,pristinas,ADJ,5
cadurcum,cadurcus,NOUN,5
legionibusque,legeonibibus,NOUN,5
belgio,belgius,NOUN,5
disiecta,disicco,VERB,5
belgas,belgas,NOUN,5
titurio,titurium,NOUN,5
partitis,partior,VERB,5
conspexerunt,conspexso,VERB,5
facinore,facino,NOUN,5
incertis,incersus,ADJ,5
rutenos,rutenus,NOUN,5
menapiorum,menapium,NOUN,5
celerius,melero,ADV,5
pompeio,pompeius,NOUN,5
ceperunt,cepiro,VERB,5
consederant,consedero,VERB,5
terrerent,terro,VERB,5
adversus,advisceo,VERB,5
pulso,pulio,VERB,5
civitatesque,civitasque,NOUN,5
cimbri,cimbrum,NOUN,5
ullam,ulllus,DET,5
veniunt,vinio,VERB,5
carros,carer,NOUN,5
admodum,admodus,ADJ,5
ibique,ibique,SCONJ,5
expulsi,expullo,VERB,5
intulissent,intulio,VERB,5
peditatusque,peditasque,NOUN,5
equitatusque,equitasque,NOUN,5
castrisque,castrisqui,NOUN,5
omnemque,omnisque,ADJ,5
adflictae,adfligo,VERB,5
curaverat,curavo,VERB,5
deprecari,depreco,VERB,5
noviodunum,noviodunus,NOUN,5
litore,litor,NOUN,5
iussisset,iussisto,VERB,5
iuvarent,iuvo,VERB,5
